Date,Price
01/02/1995,1.127
,1.134
,1.126
,1.132
,1.131
,1.124
,1.121
,1.115
,1.121
,1.123
,1.116
,1.114
,1.121
,1.133
,1.149
,1.163
,1.184
,1.194
,1.216
,1.226
,1.244
,1.246
,1.246
,1.243
,1.236
,1.229
,1.222
,1.212
,1.2
,1.191
,1.179
,1.174
,1.172
,1.171
,1.163
,1.16
,1.158
,1.157
,1.156
,1.151
,1.144
,1.133
,1.125
,1.115
,1.112
,1.109
,1.106
,1.107
,1.108
,1.11
,1.124
,1.128
01/01/1996,1.129
,1.139
,1.145
,1.138
,1.133
,1.13
,1.126
,1.133
,1.153
,1.17
,1.171
,1.181
,1.21
,1.223
,1.248
,1.287
,1.301
,1.318
,1.321
,1.323
,1.33
,1.321
,1.315
,1.307
,1.302
,1.289
,1.279
,1.276
,1.273
,1.272
,1.263
,1.253
,1.248
,1.249
,1.253
,1.242
,1.247
,1.25
,1.251
,1.245
,1.239
,1.248
,1.249
,1.26
,1.268
,1.272
,1.282
,1.289
,1.287
,1.287
,1.283
,1.278
,1.274
01/06/1997,1.272
,1.287
,1.287
,1.284
,1.282
,1.28
,1.273
,1.27
,1.261
,1.253
,1.246
,1.25
,1.246
,1.248
,1.244
,1.245
,1.24
,1.238
,1.238
,1.247
,1.255
,1.258
,1.251
,1.242
,1.232
,1.226
,1.222
,1.219
,1.222
,1.216
,1.237
,1.272
,1.274
,1.288
,1.287
,1.288
,1.281
,1.269
,1.255
,1.254
,1.248
,1.238
,1.228
,1.221
,1.222
,1.213
,1.207
,1.197
,1.187
,1.176
,1.167
,1.158
01/05/1998,1.148
,1.14
,1.129
,1.112
,1.108
,1.101
,1.085
,1.09
,1.075
,1.065
,1.055
,1.047
,1.077
,1.074
,1.072
,1.075
,1.086
,1.095
,1.109
,1.109
,1.108
,1.104
,1.113
,1.104
,1.096
,1.096
,1.097
,1.092
,1.097
,1.088
,1.077
,1.072
,1.065
,1.058
,1.053
,1.046
,1.042
,1.053
,1.053
,1.059
,1.063
,1.058
,1.055
,1.05
,1.048
,1.037
,1.03
,1.015
,0.996
,0.987
,0.986
,0.979
01/04/1999,0.977
,0.982
,0.985
,0.977
,0.971
,0.968
,0.96
,0.949
,0.955
,0.963
,1.017
,1.056
,1.121
,1.158
,1.179
,1.175
,1.171
,1.176
,1.18
,1.18
,1.166
,1.151
,1.152
,1.148
,1.163
,1.153
,1.165
,1.182
,1.208
,1.232
,1.234
,1.246
,1.275
,1.273
,1.273
,1.282
,1.29
,1.307
,1.302
,1.296
,1.29
,1.277
,1.277
,1.271
,1.274
,1.292
,1.309
,1.315
,1.313
,1.315
,1.31
,1.314
01/03/2000,1.312
,1.304
,1.318
,1.354
,1.355
,1.364
,1.394
,1.443
,1.458
,1.539
,1.566
,1.569
,1.549
,1.543
,1.516
,1.486
,1.478
,1.461
,1.495
,1.531
,1.566
,1.579
,1.599
,1.664
,1.711
,1.691
,1.661
,1.63
,1.586
,1.562
,1.514
,1.504
,1.489
,1.508
,1.521
,1.568
,1.598
,1.599
,1.586
,1.563
,1.541
,1.578
,1.588
,1.584
,1.565
,1.562
,1.55
,1.549
,1.526
,1.49
,1.462
,1.453
01/01/2001,1.446
,1.465
,1.513
,1.511
,1.5
,1.483
,1.515
,1.489
,1.471
,1.457
,1.453
,1.444
,1.445
,1.482
,1.54
,1.61
,1.658
,1.665
,1.739
,1.748
,1.724
,1.739
,1.715
,1.688
,1.644
,1.583
,1.52
,1.484
,1.459
,1.44
,1.428
,1.419
,1.434
,1.467
,1.523
,1.579
,1.562
,1.564
,1.522
,1.455
,1.393
,1.351
,1.307
,1.277
,1.249
,1.224
,1.208
,1.168
,1.149
,1.136
,1.101
,1.113
,1.137
01/07/2002,1.152
,1.152
,1.146
,1.142
,1.157
,1.148
,1.157
,1.157
,1.185
,1.262
,1.328
,1.382
,1.412
,1.454
,1.446
,1.446
,1.435
,1.437
,1.431
,1.439
,1.429
,1.433
,1.417
,1.419
,1.425
,1.433
,1.423
,1.435
,1.451
,1.447
,1.437
,1.435
,1.434
,1.444
,1.436
,1.437
,1.442
,1.436
,1.455
,1.48
,1.481
,1.499
,1.485
,1.489
,1.48
,1.451
,1.423
,1.408
,1.404
,1.407
,1.443
,1.484
01/06/2003,1.487
,1.496
,1.502
,1.515
,1.569
,1.649
,1.701
,1.699
,1.726
,1.752
,1.768
,1.732
,1.692
,1.673
,1.639
,1.618
,1.6
,1.556
,1.534
,1.539
,1.528
,1.514
